genes	Symbol	Entrezid	Genename
ENSMUSG00000000884	Gnb1l	13972	guanine nucleotide binding protein (G protein), beta polypeptide 1-like
ENSMUSG00000000901	Mmp11	17385	matrix metallopeptidase 11
ENSMUSG00000000902	Smarcb1	20587	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
ENSMUSG00000000915	Hip1r	29816	huntingtin interacting protein 1 related
ENSMUSG00000000916	Nsun5	100609	NOL1/NOP2/Sun domain family, member 5
ENSMUSG00000000934	Top1mt	72960	DNA topoisomerase 1, mitochondrial
ENSMUSG00000000957	Mmp14	17387	matrix metallopeptidase 14 (membrane-inserted)
ENSMUSG00000000958	Slc7a7	20540	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7
ENSMUSG00000000959	Oxa1l	69089	oxidase assembly 1-like
ENSMUSG00000000976	Heatr6	217026	HEAT repeat containing 6
ENSMUSG00000001016	Ilf2	67781	interleukin enhancer binding factor 2
ENSMUSG00000001017	Chtop	66511	chromatin target of PRMT1
ENSMUSG00000001018	Snapin	20615	SNAP-associated protein
ENSMUSG00000001020	S100a4	20198	S100 calcium binding protein A4
ENSMUSG00000001025	S100a6	20200	S100 calcium binding protein A6 (calcyclin)
ENSMUSG00000001029	Icam2	15896	intercellular adhesion molecule 2
ENSMUSG00000001034	Mapk7	23939	mitogen-activated protein kinase 7
ENSMUSG00000001036	Epn2	13855	epsin 2
ENSMUSG00000001039	B9d1	27078	B9 protein domain 1
ENSMUSG00000001052	Sec24b	99683	Sec24 related gene family, member B (S. cerevisiae)
ENSMUSG00000001053	N4bp3	212706	NEDD4 binding protein 3
ENSMUSG00000001054	Rmnd5b	66089	required for meiotic nuclear division 5 homolog B
ENSMUSG00000001056	Nhp2	52530	NHP2 ribonucleoprotein
ENSMUSG00000001062	Vps9d1	72325	VPS9 domain containing 1
ENSMUSG00000001065	Zfp276	57247	zinc finger protein (C2H2 type) 276
ENSMUSG00000001082	Mfsd10	68294	major facilitator superfamily domain containing 10
ENSMUSG00000001089	Luzp1	269593	leucine zipper protein 1
ENSMUSG00000001098	Kctd10	330171	potassium channel tetramerisation domain containing 10
ENSMUSG00000001100	Poldip2	67811	polymerase (DNA-directed), delta interacting protein 2
ENSMUSG00000001103	Sebox	18292	SEBOX homeobox
ENSMUSG00000001105	Ift20	55978	intraflagellar transport 20
ENSMUSG00000001119	Col6a1	12833	collagen, type VI, alpha 1
ENSMUSG00000001120	Pcbp3	59093	poly(rC) binding protein 3
ENSMUSG00000001123	Lgals9	16859	lectin, galactose binding, soluble 9
ENSMUSG00000001127	Araf	11836	Araf proto-oncogene, serine/threonine kinase
ENSMUSG00000001128	Cfp	18636	complement factor properdin
ENSMUSG00000001134	Uxt	22294	ubiquitously expressed transcript
ENSMUSG00000001138	Cnnm3	94218	cyclin M3
ENSMUSG00000001143	Lman2l	214895	lectin, mannose-binding 2-like
ENSMUSG00000001150	Mcm3ap	54387	minichromosome maintenance complex component 3 associated protein
ENSMUSG00000001151	Pcnt	18541	pericentrin (kendrin)
ENSMUSG00000001156	Mxd1	17119	MAX dimerization protein 1
ENSMUSG00000001157	Gmcl1	23885	germ cell-less, spermatogenesis associated 1
ENSMUSG00000001158	Snrnp27	66618	small nuclear ribonucleoprotein 27 (U4/U6.U5)
ENSMUSG00000001173	Ocrl	320634	OCRL, inositol polyphosphate-5-phosphatase
ENSMUSG00000001175	Calm1	12313	calmodulin 1
ENSMUSG00000001211	Agpat3	28169	1-acylglycerol-3-phosphate O-acyltransferase 3
ENSMUSG00000001227	Sema6b	20359	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B
ENSMUSG00000001228	Uhrf1	18140	ubiquitin-like, containing PHD and RING finger domains, 1
ENSMUSG00000001229	Dpp9	224897	dipeptidylpeptidase 9
ENSMUSG00000001240	Ramp2	54409	receptor (calcitonin) activity modifying protein 2
ENSMUSG00000001247	Lsr	54135	lipolysis stimulated lipoprotein receptor
ENSMUSG00000001248	Gramd1a	52857	GRAM domain containing 1A
ENSMUSG00000001249	Hpn	15451	hepsin
ENSMUSG00000001260	Gabrg1	14405	gamma-aminobutyric acid (GABA) A receptor, subunit gamma 1
ENSMUSG00000001270	Ckb	12709	creatine kinase, brain
ENSMUSG00000001280	Sp1	20683	trans-acting transcription factor 1
ENSMUSG00000001285	Myg1	60315	melanocyte proliferating gene 1
ENSMUSG00000001288	Rarg	19411	retinoic acid receptor, gamma
ENSMUSG00000001289	Pfdn5	56612	prefoldin 5
ENSMUSG00000001300	Efnb2	13642	ephrin B2
ENSMUSG00000001305	Rrp15	67223	ribosomal RNA processing 15 homolog (S. cerevisiae)
ENSMUSG00000001313	Rnd2	11858	Rho family GTPase 2
ENSMUSG00000001323	Srr	27364	serine racemase
ENSMUSG00000001334	Fndc5	384061	fibronectin type III domain containing 5
ENSMUSG00000001349	Cnn1	12797	calponin 1
ENSMUSG00000001366	Fbxo9	71538	f-box protein 9
ENSMUSG00000001376	Vps50	73288	VPS50 EARP/GARPII complex subunit
ENSMUSG00000001380	Hars	15115	histidyl-tRNA synthetase
ENSMUSG00000001383	Zmat2	66492	zinc finger, matrin type 2
ENSMUSG00000001415	Smg5	229512	Smg-5 homolog, nonsense mediated mRNA decay factor (C. elegans)
ENSMUSG00000001416	Cct3	12462	chaperonin containing Tcp1, subunit 3 (gamma)
ENSMUSG00000001418	Glmp	56700	glycosylated lysosomal membrane protein
ENSMUSG00000001419	Mef2d	17261	myocyte enhancer factor 2D
ENSMUSG00000001424	Snd1	56463	staphylococcal nuclease and tudor domain containing 1
ENSMUSG00000001435	Col18a1	12822	collagen, type XVIII, alpha 1
ENSMUSG00000001436	Slc19a1	20509	solute carrier family 19 (folate transporter), member 1
ENSMUSG00000001440	Kpnb1	16211	karyopherin (importin) beta 1
ENSMUSG00000001441	Npepps	19155	aminopeptidase puromycin sensitive
ENSMUSG00000001445	Mrpl10	107732	mitochondrial ribosomal protein L10
ENSMUSG00000001467	Cyp51	13121	cytochrome P450, family 51
ENSMUSG00000001472	Tcf25	66855	transcription factor 25 (basic helix-loop-helix)
ENSMUSG00000001473	Tubb6	67951	tubulin, beta 6 class V
ENSMUSG00000001482	Def8	23854	differentially expressed in FDCP 8
ENSMUSG00000001493	Meox1	17285	mesenchyme homeobox 1
ENSMUSG00000001494	Sost	74499	sclerostin
ENSMUSG00000001496	Nkx2-1	21869	NK2 homeobox 1
ENSMUSG00000001506	Col1a1	12842	collagen, type I, alpha 1
ENSMUSG00000001507	Itga3	16400	integrin alpha 3
ENSMUSG00000001517	Foxm1	14235	forkhead box M1
ENSMUSG00000001518	Itfg2	101142	integrin alpha FG-GAP repeat containing 2
ENSMUSG00000001520	Nrip2	60345	nuclear receptor interacting protein 2
ENSMUSG00000001521	Tulp3	22158	tubby-like protein 3
ENSMUSG00000001524	Gtf2h4	14885	general transcription factor II H, polypeptide 4
ENSMUSG00000001525	Tubb5	22154	tubulin, beta 5 class I
ENSMUSG00000001542	Ell2	192657	elongation factor RNA polymerase II 2
ENSMUSG00000001552	Jup	16480	junction plakoglobin
ENSMUSG00000001555	Fkbp10	14230	FK506 binding protein 10
ENSMUSG00000001569	Nom1	433864	nucleolar protein with MIF4G domain 1
ENSMUSG00000001576	Ergic1	67458	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1
ENSMUSG00000001604	Tcea3	21401	transcription elongation factor A (SII), 3
ENSMUSG00000001627	Ifrd1	15982	interferon-related developmental regulator 1
ENSMUSG00000001630	Stk38l	232533	serine/threonine kinase 38 like
ENSMUSG00000001632	Brpf1	78783	bromodomain and PHD finger containing, 1
ENSMUSG00000001642	Akr1b3	11677	aldo-keto reductase family 1, member B3 (aldose reductase)
ENSMUSG00000001663	Gstt1	14871	glutathione S-transferase, theta 1
ENSMUSG00000001665	Gstt3	103140	glutathione S-transferase, theta 3
ENSMUSG00000001666	Ddt	13202	D-dopachrome tautomerase
ENSMUSG00000001672	Marveld3	73608	MARVEL (membrane-associating) domain containing 3
ENSMUSG00000001674	Ddx18	66942	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18
ENSMUSG00000001687	Ubl3	24109	ubiquitin-like 3
ENSMUSG00000001700	Gramd3	107022	GRAM domain containing 3
ENSMUSG00000001707	Eef1e1	66143	eukaryotic translation elongation factor 1 epsilon 1
ENSMUSG00000001729	Akt1	11651	thymoma viral proto-oncogene 1
ENSMUSG00000001741	Il16	16170	interleukin 16
ENSMUSG00000001750	Tcirg1	27060	T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3
ENSMUSG00000001751	Naglu	27419	alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)
ENSMUSG00000001755	Coasy	71743	Coenzyme A synthase
ENSMUSG00000001761	Smo	319757	smoothened, frizzled class receptor
ENSMUSG00000001763	Tspan33	232670	tetraspanin 33
ENSMUSG00000001767	Crnkl1	66877	crooked neck pre-mRNA splicing factor 1
ENSMUSG00000001768	Rin2	74030	Ras and Rab interactor 2
ENSMUSG00000001773	Folh1	53320	folate hydrolase 1
ENSMUSG00000001774	Chordc1	66917	cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1
ENSMUSG00000001783	Rtcb	28088	RNA 2',3'-cyclic phosphate and 5'-OH ligase
ENSMUSG00000001785	Pwp1	103136	PWP1 homolog, endonuclein
ENSMUSG00000001786	Fbxo7	69754	F-box protein 7
ENSMUSG00000001794	Capns1	12336	calpain, small subunit 1
ENSMUSG00000001802	Lrp3	435965	low density lipoprotein receptor-related protein 3
ENSMUSG00000001827	Folr1	14275	folate receptor 1 (adult)
ENSMUSG00000001829	Clpb	20480	ClpB caseinolytic peptidase B
ENSMUSG00000001833	Sept7	235072	septin 7
ENSMUSG00000001844	Zdhhc4	72881	zinc finger, DHHC domain containing 4
ENSMUSG00000001847	Rac1	19353	RAS-related C3 botulinum substrate 1
ENSMUSG00000001855	Nup214	227720	nucleoporin 214
ENSMUSG00000001864	Aif1l	108897	allograft inflammatory factor 1-like
ENSMUSG00000001870	Ltbp1	268977	latent transforming growth factor beta binding protein 1
ENSMUSG00000001891	Ugp2	216558	UDP-glucose pyrophosphorylase 2
ENSMUSG00000001901	Kcnh6	192775	potassium voltage-gated channel, subfamily H (eag-related), member 6
ENSMUSG00000001909	Trmt1	212528	tRNA methyltransferase 1
ENSMUSG00000001910	Nacc1	66830	nucleus accumbens associated 1, BEN and BTB (POZ) domain containing
ENSMUSG00000001911	Nfix	18032	nuclear factor I/X
ENSMUSG00000001918	Slc1a5	20514	solute carrier family 1 (neutral amino acid transporter), member 5
ENSMUSG00000001924	Uba1	22201	ubiquitin-like modifier activating enzyme 1
ENSMUSG00000001930	Vwf	22371	Von Willebrand factor
ENSMUSG00000001942	Siae	22619	sialic acid acetylesterase
ENSMUSG00000001943	Vsig2	57276	V-set and immunoglobulin domain containing 2
ENSMUSG00000001946	Esam	69524	endothelial cell-specific adhesion molecule
ENSMUSG00000001948	Spa17	20686	sperm autoantigenic protein 17
ENSMUSG00000001962	Fam50a	108160	family with sequence similarity 50, member A
ENSMUSG00000001964	Emd	13726	emerin
ENSMUSG00000001983	Taco1	70207	translational activator of mitochondrially encoded cytochrome c oxidase I
ENSMUSG00000001985	Grik3	14807	glutamate receptor, ionotropic, kainate 3
ENSMUSG00000001986	Gria3	53623	glutamate receptor, ionotropic, AMPA3 (alpha 3)
ENSMUSG00000001988	Npas1	18142	neuronal PAS domain protein 1
ENSMUSG00000001995	Sipa1l2	244668	signal-induced proliferation-associated 1 like 2
ENSMUSG00000001998	Ap4e1	108011	adaptor-related protein complex AP-4, epsilon 1
ENSMUSG00000001999	Blvra	109778	biliverdin reductase A
ENSMUSG00000002006	Pdzd4	245469	PDZ domain containing 4
ENSMUSG00000002007	Srpk3	56504	serine/arginine-rich protein specific kinase 3
ENSMUSG00000002010	Idh3g	15929	isocitrate dehydrogenase 3 (NAD+), gamma
ENSMUSG00000002012	Pnck	93843	pregnancy upregulated non-ubiquitously expressed CaM kinase
ENSMUSG00000002014	Ssr4	20832	signal sequence receptor, delta
ENSMUSG00000002015	Bcap31	27061	B cell receptor associated protein 31
ENSMUSG00000002017	Fam98a	72722	family with sequence similarity 98, member A
ENSMUSG00000002028	Kmt2a	214162	lysine (K)-specific methyltransferase 2A
ENSMUSG00000002031	Ift46	76568	intraflagellar transport 46
ENSMUSG00000002032	Tmem25	71687	transmembrane protein 25
ENSMUSG00000002043	Trappc6a	67091	trafficking protein particle complex 6A
ENSMUSG00000002052	Supt6	20926	suppressor of Ty 6
ENSMUSG00000002055	Spag5	54141	sperm associated antigen 5
ENSMUSG00000002058	Unc119	22248	unc-119 lipid binding chaperone
ENSMUSG00000002059	Rab34	19376	RAB34, member RAS oncogene family
ENSMUSG00000002064	Sdf2	20316	stromal cell derived factor 2
ENSMUSG00000002068	Ccne1	12447	cyclin E1
ENSMUSG00000002083	Bbc3	170770	BCL2 binding component 3
ENSMUSG00000002102	Psmc3	19182	proteasome (prosome, macropain) 26S subunit, ATPase 3
ENSMUSG00000002103	Acp2	11432	acid phosphatase 2, lysosomal
ENSMUSG00000002105	Slc39a13	68427	solute carrier family 39 (metal ion transporter), member 13
ENSMUSG00000002107	Celf2	14007	CUGBP, Elav-like family member 2
ENSMUSG00000002108	Nr1h3	22259	nuclear receptor subfamily 1, group H, member 3
ENSMUSG00000002109	Ddb2	107986	damage specific DNA binding protein 2
ENSMUSG00000002111	Spi1	20375	spleen focus forming virus (SFFV) proviral integration oncogene
ENSMUSG00000002129	Sf3a1	67465	splicing factor 3a, subunit 1
ENSMUSG00000002147	Stat6	20852	signal transducer and activator of transcription 6
ENSMUSG00000002190	Clgn	12745	calmegin
ENSMUSG00000002205	Vrk3	101568	vaccinia related kinase 3
ENSMUSG00000002210	Smg9	71997	smg-9 homolog, nonsense mediated mRNA decay factor (C. elegans)
ENSMUSG00000002221	Paxip1	55982	PAX interacting (with transcription-activation domain) protein 1
ENSMUSG00000002222	Rmnd5a	68477	required for meiotic nuclear division 5 homolog A
ENSMUSG00000002227	Mov10	17454	Moloney leukemia virus 10
ENSMUSG00000002233	Rhoc	11853	ras homolog family member C
ENSMUSG00000002249	Tead3	21678	TEA domain family member 3
ENSMUSG00000002250	Ppard	19015	peroxisome proliferator activator receptor delta
ENSMUSG00000002257	Def6	23853	differentially expressed in FDCP 6
ENSMUSG00000002265	Peg3	18616	paternally expressed 3
ENSMUSG00000002266	Zim1	22776	zinc finger, imprinted 1
ENSMUSG00000002274	Metrn	70083	meteorin, glial cell differentiation regulator
ENSMUSG00000002279	Lmf1	76483	lipase maturation factor 1
ENSMUSG00000002280	Narfl	67563	nuclear prelamin A recognition factor-like
ENSMUSG00000002289	Angptl4	57875	angiopoietin-like 4
ENSMUSG00000002297	Dbf4	27214	DBF4 zinc finger
ENSMUSG00000002307	Daxx	13163	Fas death domain-associated protein
ENSMUSG00000002308	Cd320	54219	CD320 antigen
ENSMUSG00000002319	Ipo4	75751	importin 4
ENSMUSG00000002320	Tm9sf1	74140	transmembrane 9 superfamily member 1
ENSMUSG00000002324	Rec8	56739	REC8 meiotic recombination protein
ENSMUSG00000002325	Irf9	16391	interferon regulatory factor 9
ENSMUSG00000002326	Gmpr2	105446	guanosine monophosphate reductase 2
ENSMUSG00000002329	Mdp1	67881	magnesium-dependent phosphatase 1
ENSMUSG00000002332	Dhrs1	52585	dehydrogenase/reductase (SDR family) member 1
ENSMUSG00000002341	Ncan	13004	neurocan
ENSMUSG00000002342	Tmem161a	234371	transmembrane protein 161A
ENSMUSG00000002343	Armc6	76813	armadillo repeat containing 6
ENSMUSG00000002345	Borcs8	72368	BLOC-1 related complex subunit 8
ENSMUSG00000002346	Slc25a42	73095	solute carrier family 25, member 42
ENSMUSG00000002365	Snx9	66616	sorting nexin 9
ENSMUSG00000002372	Ranbp3	71810	RAN binding protein 3
ENSMUSG00000002379	Ndufa11	69875	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 11
ENSMUSG00000002393	Nr2f6	13864	nuclear receptor subfamily 2, group F, member 6
ENSMUSG00000002395	Use1	67023	unconventional SNARE in the ER 1 homolog (S. cerevisiae)
ENSMUSG00000002396	Ocel1	77090	occludin/ELL domain containing 1
ENSMUSG00000002409	Dyrk1b	13549	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1b
ENSMUSG00000002413	Braf	109880	Braf transforming gene
ENSMUSG00000002416	Ndufb2	68198	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 2
ENSMUSG00000002428	Hltf	20585	helicase-like transcription factor
ENSMUSG00000002455	Prpf6	68879	pre-mRNA splicing factor 6
ENSMUSG00000002458	Rgs19	56470	regulator of G-protein signaling 19
ENSMUSG00000002459	Rgs20	58175	regulator of G-protein signaling 20
ENSMUSG00000002475	Abhd3	106861	abhydrolase domain containing 3
ENSMUSG00000002477	Snrpd1	20641	small nuclear ribonucleoprotein D1
ENSMUSG00000002486	Tchp	77832	trichoplein, keratin filament binding
ENSMUSG00000002489	Tiam1	21844	T cell lymphoma invasion and metastasis 1
ENSMUSG00000002496	Tsc2	22084	tuberous sclerosis 2
ENSMUSG00000002504	Slc9a3r2	65962	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 2
ENSMUSG00000002524	Puf60	67959	poly-U binding splicing factor 60
ENSMUSG00000002546	Golga2	99412	golgi autoantigen, golgin subfamily a, 2
ENSMUSG00000002550	Uck1	22245	uridine-cytidine kinase 1
ENSMUSG00000002565	Scin	20259	scinderin
ENSMUSG00000002578	Ikzf4	22781	IKAROS family zinc finger 4
ENSMUSG00000002580	Mien1	103742	migration and invasion enhancer 1
ENSMUSG00000002588	Pon1	18979	paraoxonase 1
ENSMUSG00000002602	Axl	26362	AXL receptor tyrosine kinase
ENSMUSG00000002603	Tgfb1	21803	transforming growth factor, beta 1
ENSMUSG00000002608	Ccdc97	52132	coiled-coil domain containing 97
ENSMUSG00000002617	Zfp40	22700	zinc finger protein 40
ENSMUSG00000002625	Akap8l	54194	A kinase (PRKA) anchor protein 8-like
ENSMUSG00000002633	Shh	20423	sonic hedgehog
ENSMUSG00000002635	Pdcd2l	68079	programmed cell death 2-like
ENSMUSG00000002658	Gtf2f1	98053	general transcription factor IIF, polypeptide 1
ENSMUSG00000002660	Clpp	53895	caseinolytic mitochondrial matrix peptidase proteolytic subunit
ENSMUSG00000002661	Alkbh7	66400	alkB homolog 7
ENSMUSG00000002668	Dennd1c	70785	DENN/MADD domain containing 1C
ENSMUSG00000002679	Med6	69792	mediator complex subunit 6
ENSMUSG00000002688	Prkd1	18760	protein kinase D1
ENSMUSG00000002699	Lcp2	16822	lymphocyte cytosolic protein 2
ENSMUSG00000002718	Cse1l	110750	chromosome segregation 1-like (S. cerevisiae)
ENSMUSG00000002728	Naa20	67877	N(alpha)-acetyltransferase 20, NatB catalytic subunit
ENSMUSG00000002731	Prkra	23992	protein kinase, interferon inducible double stranded RNA dependent activator
ENSMUSG00000002732	Fkbp7	14231	FK506 binding protein 7
ENSMUSG00000002733	Plekha3	83435	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 3
ENSMUSG00000002741	Ykt6	56418	YKT6 v-SNARE homolog (S. cerevisiae)
ENSMUSG00000002748	Baz1b	22385	bromodomain adjacent to zinc finger domain, 1B
ENSMUSG00000002763	Pex6	224824	peroxisomal biogenesis factor 6
